n_participant,group,age,gender,class,pre_test_order,version ,primary,schelling,cq_cv,cv_1,cv_2,cv_3,cv_4,cv_5,cq_fcv,fcv_1,fcv_2,fcv_3,fcv_4,fcv_5,coarse_visual_1,coarse_visual_2,coarse_visual_3,coarse_visual_4,coarse_visual_5,Coarse_Visual_Mean,Y2_Coarse_Visual_Mean,forced_choice_1,forced_choice_2,forced_choice_3,forced_choice_4,forced_choice_5,Y2_Forced_Choice_Verbal_Mean,adult_coarse_visual_1,adult_coarse_visual_2,adult_coarse_visual_3,adult_coarse_visual_4,adult_coarse_visual_5,Adults_Coarse_Visual_Mean,adult_forced_choice_5,adult_forced_choice_1,adult_forced_choice_2,adult_forced_choice_3,adult_forced_choice_4,Adult_Forced_Choice_Verbal_Mean,crossed_coarse_visual_1,crossed_coarse_visual_2,crossed_coarse_visual_3,crossed_coarse_visual_4,crossed_coarse_visual_5,crossed_forced_choice_1,crossed_forced_choice_2,crossed_forced_choice_3,crossed_forced_choice_4,crossed_forced_choice_5,Crossed_Coarse_Visual_Mean,Crossed_Forced_Choice_Verbal_Mean
39,year_two,78,male,g,a,2,c,b,c,c,d,a,a,d,teacher,banana,fence,pillow,starfish,grass,0.243902439,0.170731707,0.487804878,0.609756098,0.317073171,0.365853659,0.447154472,0.756097561,0.243902439,0.634146341,0.341463415,0.073170732,0.409756098,,,,,,,,,,,,,0.217391304,0.130434783,0.608695652,0.652173913,0.130434783,0.869565217,0.347826087,0.695652174,0,0.47826087,0.492753623,0.490909091
40,year_two,85,male,g,b,1,c,b,a,a,b,a,a,c,teacher,banana,fence,pillow,shell,swings,0.390243902,0.390243902,0.487804878,0.609756098,0.170731707,0.409756098,0.495934959,0.756097561,0.243902439,0.634146341,0.292682927,0.756097561,0.536585366,,,,,,,,,,,,,0.608695652,0.391304348,0.608695652,0.652173913,0.130434783,0.869565217,0.347826087,0.695652174,0.782608696,0.173913043,0.623188406,0.590909091
41,year_two,84,female,g,a,1,c,b,b,a,c,a,d,b,teacher,banana,tree,pillow,starfish,swings,0.390243902,0.073170732,0.487804878,0.073170732,0.170731707,0.23902439,0.317073171,0.756097561,0.414634146,0.634146341,0.341463415,0.756097561,0.580487805,,,,,,,,,,,,,0.608695652,0.043478261,0.608695652,0.086956522,0.130434783,0.869565217,0.52173913,0.695652174,0,0.173913043,0.434782609,0.454545455
43,year_two,80,male,g,a,2,c,b,a,c,a,c,a,d,teacher,banana,fence,teddy,starfish,swings,0.243902439,0.292682927,0.097560976,0.609756098,0.317073171,0.312195122,0.317073171,0.756097561,0.243902439,0.317073171,0.341463415,0.756097561,0.482926829,,,,,,,,,,,,,0.217391304,0.304347826,0.173913043,0.652173913,0.130434783,0.869565217,0.347826087,0.130434783,0,0.173913043,0.347826087,0.309090909
44,year_two,86,female,g,b,1,c,b,a,a,a,a,a,a,teacher,banana,tree,pillow,starfish,swings,0.390243902,0.292682927,0.487804878,0.609756098,0.268292683,0.409756098,0.495934959,0.756097561,0.414634146,0.634146341,0.341463415,0.756097561,0.580487805,,,,,,,,,,,,,0.608695652,0.304347826,0.608695652,0.652173913,0.47826087,0.869565217,0.52173913,0.695652174,0,0.173913043,0.623188406,0.454545455
45,year_two,86,female,g,a,1,c,b,b,b,d,a,c,d,teacher,banana,bird,teddy,boat,swings,0.12195122,0.170731707,0.487804878,0.195121951,0.317073171,0.258536585,0.268292683,0.756097561,0.146341463,0.317073171,0.195121951,0.756097561,0.434146341,,,,,,,,,,,,,0.043478261,0.130434783,0.608695652,0.043478261,0.130434783,0.869565217,0.043478261,0.130434783,0.043478261,0.173913043,0.231884058,0.254545454
47,year_two,86,female,g,a,2,c,b,a,a,b,a,a,a,teacher,banana,tree,pillow,ice cream,swings,0.390243902,0.390243902,0.487804878,0.609756098,0.268292683,0.429268293,0.495934959,0.756097561,0.414634146,0.634146341,0.097560976,0.756097561,0.531707317,,,,,,,,,,,,,0.608695652,0.391304348,0.608695652,0.652173913,0.47826087,0.869565217,0.52173913,0.695652174,0.043478261,0.173913043,0.623188406,0.454545455
48,year_two,84,male,g,b,1,c,b,a,d,a,a,a,a,teacher,banana,fence,pillow,starfish,swings,0.170731707,0.292682927,0.487804878,0.609756098,0.268292683,0.365853659,0.422764228,0.756097561,0.243902439,0.634146341,0.341463415,0.756097561,0.546341463,,,,,,,,,,,,,0,0.304347826,0.608695652,0.652173913,0.47826087,0.869565217,0.347826087,0.695652174,0,0.173913043,0.420289855,0.427272727
49,year_two,77,male,g,a,1,c,b,b,d,c,d,b,c,teacher,chair,ball,pillow,ice cream,swings,0.170731707,0.073170732,0.12195122,0.048780488,0.170731707,0.117073171,0.113821138,0.195121951,0.12195122,0.634146341,0.097560976,0.756097561,0.36097561,,,,,,,,,,,,,0,0.043478261,0,0.086956522,0.130434783,0.086956522,0,0.695652174,0.043478261,0.173913043,0.028985507,0.2
50,year_two,80,female,g,b,2,c,b,b,c,a,d,c,c,teacher,banana,tree,pillow,starfish,swings,0.243902439,0.292682927,0.12195122,0.195121951,0.170731707,0.204878049,0.18699187,0.756097561,0.414634146,0.634146341,0.341463415,0.756097561,0.580487805,,,,,,,,,,,,,0.217391304,0.304347826,0,0.043478261,0.130434783,0.869565217,0.52173913,0.695652174,0,0.173913043,0.086956522,0.454545455
